ticker,holder_name,portfolio_name,source,amount_held,pct_outstanding,latest_change,filing_date,institution_type,country,metro_area,etf_label,ticker_raw
CLOZ US Equity,Guardian Financial P,Guardian Financial P,13F,735819.0,2.55,-37602.0,2025-12-31,Investment Advisor,United States,Los Angeles/Pasadena,CLOZ (Panagram BB-B CLO),CLOZ
CLOZ US Equity,Goldman Sachs Group,,ULT-AGG,603013.0,2.09,-824810.0,2025-12-31,Investment Advisor,United States,New York City/Southern CT/Northern NJ,CLOZ (Panagram BB-B CLO),CLOZ
CLOZ US Equity,LPL Financial LLC,LPL Financial LLC,13F,583344.0,2.02,583344.0,2025-12-31,Brokerage,United States,Boston,CLOZ (Panagram BB-B CLO),CLOZ
CLOZ US Equity,Jane Street Group LL,Jane Street Group LL,13F,530707.0,1.84,468085.0,2025-12-31,Brokerage,United States,New York City/Southern CT/Northern NJ,CLOZ (Panagram BB-B CLO),CLOZ
CLOZ US Equity,Black Swift Group LL,Black Swift Group LL,13F,394659.0,1.37,-231496.0,2025-12-31,Investment Advisor,United States,Denver,CLOZ (Panagram BB-B CLO),CLOZ
CLOZ US Equity,Ocean Park Asset Man,Ocean Park Asset Man,13F,364527.0,1.26,-38800.0,2025-12-31,Investment Advisor,United States,San Francisco/San Jose,CLOZ (Panagram BB-B CLO),CLOZ
CLOZ US Equity,Flow Traders US LLC,Flow Traders US LLC,13F,310113.0,1.07,150591.0,2025-12-31,Brokerage,United States,New York City/Southern CT/Northern NJ,CLOZ (Panagram BB-B CLO),CLOZ
CLOZ US Equity,New Jersey Division,,ULT-AGG,300000.0,1.04,0.0,2025-12-31,Pension Fund,United States,Philadelphia,CLOZ (Panagram BB-B CLO),CLOZ
CLOZ US Equity,Stifel Financial Cor,Stifel Financial Cor,13F,288558.0,1.0,77175.0,2025-12-31,Brokerage,United States,Saint Louis,CLOZ (Panagram BB-B CLO),CLOZ
CLOZ US Equity,Gradient Investments,Gradient Investments,13F,285578.0,0.99,4914.0,2025-12-31,Investment Advisor,United States,Minneapolis/St. Paul,CLOZ (Panagram BB-B CLO),CLOZ
CLOZ US Equity,Ball & Co Wealth Man,Ball & Co Wealth Man,13F,257290.0,0.89,-117302.0,2025-12-31,Investment Advisor,United States,Nashville,CLOZ (Panagram BB-B CLO),CLOZ
CLOZ US Equity,Carmel Capital Partn,Carmel Capital Partn,13F,244829.0,0.85,33371.0,2025-12-31,Hedge Fund Manager,United States,San Diego,CLOZ (Panagram BB-B CLO),CLOZ
CLOZ US Equity,Bienville Capital Ma,Bienville Capital Ma,13F,222201.0,0.77,1322.0,2025-12-31,Investment Advisor,United States,New York City/Southern CT/Northern NJ,CLOZ (Panagram BB-B CLO),CLOZ
CLOZ US Equity,Sound Income Strateg,Sound Income Strateg,13F,217449.0,0.75,73437.0,2025-12-31,Investment Advisor,United States,Miami,CLOZ (Panagram BB-B CLO),CLOZ
CLOZ US Equity,Kestra Advisory Serv,Kestra Advisory Serv,13F,215176.0,0.74,-32807.0,2025-12-31,Investment Advisor,United States,Austin,CLOZ (Panagram BB-B CLO),CLOZ
CLOZ US Equity,Tower Research Capit,Tower Research Capit,13F,201580.0,0.7,161051.0,2025-12-31,Brokerage,United States,New York City/Southern CT/Northern NJ,CLOZ (Panagram BB-B CLO),CLOZ
CLOZ US Equity,Bain Capital Private,,ULT-AGG,194156.0,0.67,-6819.0,2025-12-31,Private Equity,United States,Boston,CLOZ (Panagram BB-B CLO),CLOZ
